----------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------
 LID                                      LID(String)      Filename         Verno                                 Description    Category   Attribute
 156                  NVRAM_EF_SMSAL_COMMON_PARAM_LID          PACK           LID                                      (null)      0x0100      0x0280
 157                          NVRAM_EF_SMSAL_SMSP_LID          PACK           LID                                      (null)      0x0000      0x0210
 158                          NVRAM_EF_SMSAL_MWIS_LID          PACK           LID                                      (null)      0x0000      0x0200
 159                       NVRAM_EF_CB_DEFAULT_CH_LID          PACK           LID                                      (null)      0x0100      0x0280
 160                          NVRAM_EF_CB_CH_INFO_LID          PACK           LID                                      (null)      0x0000      0x0280
 146                      NVRAM_EF_TCM_STATISTICS_LID          PACK           LID                                      (null)      0x0000      0x0200
 147                     NVRAM_EF_TCM_PDP_PROFILE_LID          PACK           LID                                      (null)      0x0000      0x0200
 148                            NVRAM_EF_CFU_FLAG_LID          PACK           LID                                      (null)      0x0000      0x0200
 149                  NVRAM_EF_MM_EQPLMN_LOCIGPRS_LID          PACK           LID                                      (null)      0x0000      0x0200
 151                         NVRAM_EF_ALS_LINE_ID_LID          PACK           LID                                      (null)      0x0100      0x0200
 152                               NVRAM_EF_MSCAP_LID          PACK           LID                                      (null)      0x0100      0x0202
 125                     NVRAM_EF_CLASSMARK_RACAP_LID          PACK           LID                                      (null)      0x0000      0x0202
 126                          NVRAM_EF_SIM_ASSERT_LID          PACK           LID                                      (null)      0x0000      0x0300
 127                            NVRAM_EF_RTC_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 128                             NVRAM_EF_NET_PAR_LID          MT1A           007                                      (null)      0x0000      0x0000
 170                            NVRAM_EF_CSM_ESSP_LID          PACK           LID                                      (null)      0x0000      0x0200
 138                   NVRAM_EF_CUST_HW_LEVEL_TBL_LID          PACK           LID                                      (null)      0x0000      0x1240
 139                NVRAM_EF_UEM_MANUFACTURE_DATA_LID          PACK           LID                                      (null)      0x0000      0x1200
 140                        NVRAM_EF_UEM_RMI_DATA_LID          PACK           LID                                      (null)      0x0000      0x1200
 141                    NVRAM_EF_GPS_SETTING_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 143                   NVRAM_EF_BWCS_SETTING_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 164                         NVRAM_EF_MS_SECURITY_LID          PACK           LID                                      (null)      0x0100      0x0208
 172                     NVRAM_EF_SYS_CACHE_OCTET_LID          PACK           LID                                      (null)      0x0000      0x2201
 176                      NVRAM_EF_RAC_PREFERENCE_LID          PACK           LID                                      (null)      0x0100      0x0280
 167             NVRAM_EF_PS_CONFORMANCE_TESTMODE_LID          PACK           LID                                      (null)      0x0000      0x0200
 179                          NVRAM_EF_TST_CONFIG_LID          PACK           LID                                      (null)      0x0000      0x2200
2560                                 NVRAM_EF_ADC_LID          MT1F           000                                      (null)      0x1000      0x0000
1280                         NVRAM_EF_CAMERA_PARA_LID          PACK           LID                                      (null)      0x0000      0x2200
1322               NVRAM_EF_CAMERA_MAIN_SENSOR_ID_LID          PACK           LID                                      (null)      0x0000      0x0280
2816                     NVRAM_EF_TOUCHPANEL_PARA_LID          PACK           LID                                      (null)      0x0000      0x2200
 186                                 NVRAM_EF_PHB_LID          MP0C           003                                      (null)      0x0000      0x0010
 182                            NVRAM_EF_AUTOTEST_LID          PACK           LID                                      (null)      0x0000      0x0200
 183                          NVRAM_EF_CACHE_BYTE_LID          PACK           LID                                      (null)      0x0100      0x0200
 184                         NVRAM_EF_CACHE_SHORT_LID          PACK           LID                                      (null)      0x0100      0x0200
 185                        NVRAM_EF_CACHE_DOUBLE_LID          PACK           LID                                      (null)      0x0100      0x0200
 364                  NVRAM_EF_MMI_CACHE_BYTE_KEY_LID          MM03           000                                      (null)      0x0000      0x2001
 365                 NVRAM_EF_MMI_CACHE_SHORT_KEY_LID          MM04           000                                      (null)      0x0000      0x2001
 366                NVRAM_EF_MMI_CACHE_DOUBLE_KEY_LID          PACK           LID                                      (null)      0x0000      0x2201
 187                             NVRAM_EF_PHB_SOS_LID          PACK           LID                                      (null)      0x0000      0x0200
 190                          NVRAM_EF_PHB_FIELDS_LID          MP0H           006                                      (null)      0x0000      0x0010
 191                     NVRAM_EF_PHB_FIELDS_MASK_LID          PACK           LID                                      (null)      0x0000      0x0200
 193                       NVRAM_EF_PHB_MY_NUMBER_LID          PACK           LID                                      (null)      0x0000      0x0200
 197                            NVRAM_EF_PHB_INFO_LID          PACK           LID                                      (null)      0x0000      0x0200
 205                      NVRAM_EF_CAMERA_SETTING_LID          PACK           LID                                      (null)      0x0000      0x0280
 206                       NVRAM_EF_VIDEO_SETTING_LID          PACK           LID                                      (null)      0x0000      0x0280
 208                       NVRAM_EF_ALM_SPOF_DATA_LID          PACK           LID                                      (null)      0x0000      0x0240
 209                      NVRAM_EF_ALM_ALARM_DATA_LID          PACK           LID                                      (null)      0x0000      0x0240
 211                           NVRAM_EF_GROUPLIST_LID          PACK           LID                                      (null)      0x0000      0x0200
 213                  NVRAM_EF_WALLPAPER_FILENAME_LID          PACK           LID                                      (null)      0x0000      0x0280
 214                           NVRAM_EF_SHORTCUTS_LID          PACK           LID                                      (null)      0x0000      0x02c0
 218                            NVRAM_EF_FM_RADIO_LID          PACK           LID                                      (null)      0x0000      0x0200
 222                             NVRAM_EF_BT_INFO_LID          PACK           LID                                      (null)      0x0000      0x0200
 223                         NVRAM_EF_BT_DEV_LIST_LID          MP26           001                                      (null)      0x0000      0x0000
 224                   NVRAM_EF_BT_DEV_LIST_INDEX_LID          PACK           LID                                      (null)      0x0000      0x0200
 225                         NVRAM_EF_BT_SYS_INFO_LID          PACK           LID                                      (null)      0x0000      0x0280
 228                     NVRAM_EF_AUDIO_EQUALIZER_LID          PACK           LID                                      (null)      0x0000      0x2280
 242                       NVRAM_EF_A2DP_SETTINGS_LID          PACK           LID                                      (null)      0x0000      0x0280
 245                        NVRAM_EF_WLAN_SETTING_LID          PACK           LID                                      (null)      0x0000      0x0200
 246                        NVRAM_EF_WLAN_PROFILE_LID          MP40           006                                      (null)      0x0000      0x0000
 247                   NVRAM_EF_EM_NW_EVENT_RINGS_LID          PACK           LID                                      (null)      0x0000      0x0200
 248                        NVRAM_EF_NITZ_NW_NAME_LID          PACK           LID                                      (null)      0x0000      0x02c0
 259               NVRAM_EF_UMMS_COMPOSE_SETTINGS_LID          PACK           LID                                      (null)      0x0000      0x0280
 260               NVRAM_EF_UMMS_SENDING_SETTINGS_LID          PACK           LID                                      (null)      0x0000      0x0280
 298                    NVRAM_EF_PUSH_GEN_SETTING_LID          PACK           LID                                      (null)      0x0000      0x0280
 301                       NVRAM_EF_INET_CUSTPACK_LID          PACK           LID                                      (null)      0x0100      0x0200
 320                  NVRAM_EF_SEARCH_WEB_HISTORY_LID          PACK           LID                                      (null)      0x0000      0x0200
 326                  NVRAM_EF_CNMGR_CONNECT_DATA_LID          PACK           LID                                      (null)      0x0000      0x0200
 334                         NVRAM_EF_SRV_SMS_PDU_LID          MPA3           001                                      (null)      0x0000      0x0010
 342                   NVRAM_EF_MRE_FIRST_RUNNING_LID          PACK           LID                                      (null)      0x0000      0x0200
 352                        NVRAM_EF_DTCNT_SIM_ID_LID          PACK           LID                                      (null)      0x0000      0x0200
 212                      NVRAM_EF_GROUPLIST_SIM2_LID          PACK           LID                                      (null)      0x0000      0x0200
 353                         NVRAM_EF_BTHF_CONFIG_LID          PACK           LID                                      (null)      0x0000      0x0280
 355               NVRAM_EF_SRV_SMS_STATUS_REPORT_LID          PACK           LID                                      (null)      0x0000      0x0210
 357                            NVRAM_EF_CLOG_LOG_LID          MPD1           002                                      (null)      0x0000      0x0010
 358                      NVRAM_EF_CLOG_CALL_TIME_LID          PACK           LID                                      (null)      0x0000      0x0210
 362                   NVRAM_EF_CMCC_WIFI_SETTING_LID          PACK           LID                                      (null)      0x0000      0x0200
 367                      NVRAM_EF_SRV_REMINDER_Q_LID          PACK           LID                                      (null)      0x0000      0x0240
 384                           NVRAM_EF_QUICKTEST_LID          PACK           LID                                      (null)      0x0000      0x0200
 386                     NVRAM_EF_SRV_NSS_PROFILE_LID          PACK           LID                                      (null)      0x0000      0x0201
 388                             NVRAM_EF_LID_GGT_LID          PACK           LID                                      (null)      0x0000      0x0200
1536                  NVRAM_EF_CUST_ACOUSTIC_DATA_LID          PACK           LID                                      (null)      0x0000      0x2200
1537                         NVRAM_EF_AUDIO_PARAM_LID          MT6B           010                                      (null)      0x0000      0x0000
1538                   NVRAM_EF_AUDIO_BESLOUDNESS_LID          MT6C           120                                      (null)      0x0000      0x0000
1545                NVRAM_EF_AUDIO_DC_CALIBRATION_LID          PACK           LID                                      (null)      0x0000      0x0200
1546               NVRAM_EF_AUDIO_BES_EQ_FLEXIBLE_LID          PACK           LID                                      (null)      0x0000      0x0200
1803                NVRAM_EF_GPS_MMI_SETTING_DATA_LID          PACK           LID                                      (null)      0x0000      0x0280
2048                    NVRAM_EF_SRV_PROF_SETTING_LID          PACK           LID                                      (null)      0x0000      0x2291
2049                 NVRAM_EF_SRV_PROF_EXT_MELODY_LID          MP1K           001                                      (null)      0x0000      0x0090
--------------------------------------------------------------------------------------------
